study_id,timepoint_category,prevalence,N,iter
Morrow_2016_preterm_infants,DOL 9-42,0,20,6
PRIMAL,DOL 1-8,0.09482758620689655,116,6
PRIMAL,DOL 43-455,0.06,50,6
PRIMAL,DOL 9-42,0.26497695852534564,434,6
Parnanen_2019_infant,DOL 1-8,0,1,6
Parnanen_2019_infant,DOL 9-42,0.15625,32,6
Rahman_2018_preterm_NICU,DOL 1-8,0.0967741935483871,93,6
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,6
Rahman_2018_preterm_NICU,DOL 9-42,0.11578947368421053,190,6
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,7
Gasparrini_2019_infant,DOL 43-455,0.12698412698412698,63,7
Gasparrini_2019_infant,DOL 9-42,0.19230769230769232,26,7
Gibson_2016_preterm,DOL 1-8,0.21052631578947367,114,7
Gibson_2016_preterm,DOL 43-455,0.0625,16,7
Gibson_2016_preterm,DOL 9-42,0.27956989247311825,93,7
Morrow_2016_preterm_infants,DOL 1-8,0.18867924528301888,53,7
Morrow_2016_preterm_infants,DOL 9-42,0,20,7
PRIMAL,DOL 1-8,0.09482758620689655,116,7
PRIMAL,DOL 43-455,0.06,50,7
PRIMAL,DOL 9-42,0.2465437788018433,434,7
Parnanen_2019_infant,DOL 1-8,0,1,7
Parnanen_2019_infant,DOL 9-42,0.15625,32,7
Rahman_2018_preterm_NICU,DOL 1-8,0.11827956989247312,93,7
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,7
Rahman_2018_preterm_NICU,DOL 9-42,0.09473684210526316,190,7
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,8
Gasparrini_2019_infant,DOL 43-455,0.1111111111111111,63,8
Gasparrini_2019_infant,DOL 9-42,0.23076923076923078,26,8
Gibson_2016_preterm,DOL 1-8,0.21929824561403508,114,8
Gibson_2016_preterm,DOL 43-455,0,16,8
Gibson_2016_preterm,DOL 9-42,0.25806451612903225,93,8
